model,draw,band,layer,mean_logit_contrib,std_logit_contrib,median_logit_contrib,method
pythia-410m,draw_3,low,13,-0.051746174693107605,0.27740395069122314,-0.07673318684101105,direct
pythia-410m,draw_3,low,14,-0.025870373472571373,0.22119885683059692,-0.027809113264083862,direct
pythia-410m,draw_3,low,15,-0.1462341696023941,0.222505584359169,-0.1419835388660431,direct
pythia-410m,draw_3,low,16,-0.23558351397514343,0.26345863938331604,-0.24946266412734985,direct
pythia-410m,draw_3,low,17,0.15961608290672302,0.40615370869636536,0.10677547752857208,direct
pythia-410m,draw_3,low,18,-0.06003860384225845,0.4458473324775696,-0.04063687473535538,direct
pythia-410m,draw_3,low,19,0.07986058294773102,0.3366491496562958,0.08213552832603455,direct
pythia-410m,draw_3,low,20,0.01798814721405506,0.3593311011791229,0.021653369069099426,direct
pythia-410m,draw_3,low,21,-0.19505544006824493,0.42040306329727173,-0.1924455761909485,direct
pythia-410m,draw_3,low,22,0.6097228527069092,0.44513213634490967,0.6458004117012024,direct
pythia-410m,draw_3,low,23,2.7990286350250244,0.6298554539680481,2.8037517070770264,direct
pythia-410m,draw_3,medium,0,-0.007830455899238586,0.2610349953174591,0.011385053396224976,direct
pythia-410m,draw_3,medium,1,-0.017537947744131088,0.14241375029087067,-0.01590244472026825,direct
pythia-410m,draw_3,medium,2,-0.011037184856832027,0.1354006677865982,-0.01995024085044861,direct
pythia-410m,draw_3,medium,3,-0.0075004855170845985,0.14368557929992676,0.004069000482559204,direct
pythia-410m,draw_3,medium,4,0.010972948744893074,0.14465636014938354,0.008528828620910645,direct
pythia-410m,draw_3,medium,5,-0.008581806905567646,0.21310964226722717,-0.003179684281349182,direct
pythia-410m,draw_3,medium,6,0.023007748648524284,0.15635424852371216,0.026155760511755943,direct
pythia-410m,draw_3,medium,7,0.006633609067648649,0.18021629750728607,0.0010991692543029785,direct
pythia-410m,draw_3,medium,8,-0.00035603842115961015,0.24554313719272614,-0.01906425878405571,direct
pythia-410m,draw_3,medium,9,-0.029579991474747658,0.25734618306159973,-0.01552557572722435,direct
